#Quantes vegades vols fer f(x)?
#Quin vols que sigui el pas?
#quin vols que sigui h?
2.050000e-01 9.074012e-01 -2.822935e+00 2.367533e-01 -2.405904e-01
2.060000e-01 9.045610e-01 -2.857364e+00 2.365228e-01 -2.206080e-01
2.070000e-01 9.016866e-01 -2.891345e+00 2.363118e-01 -2.013880e-01
2.080000e-01 8.987785e-01 -2.924880e+00 2.361197e-01 -1.829202e-01
2.090000e-01 8.958370e-01 -2.957970e+00 2.359457e-01 -1.651942e-01
2.100000e-01 8.928627e-01 -2.990616e+00 2.357891e-01 -1.481995e-01
2.110000e-01 8.898559e-01 -3.022819e+00 2.356491e-01 -1.319253e-01
2.120000e-01 8.868172e-01 -3.054583e+00 2.355250e-01 -1.163605e-01
2.130000e-01 8.837469e-01 -3.085907e+00 2.354162e-01 -1.014939e-01
2.140000e-01 8.806455e-01 -3.116793e+00 2.353218e-01 -8.731426e-02
2.150000e-01 8.775135e-01 -3.147244e+00 2.352413e-01 -7.380988e-02
2.160000e-01 8.743512e-01 -3.177260e+00 2.351740e-01 -6.096908e-02
2.170000e-01 8.711591e-01 -3.206843e+00 2.351191e-01 -4.877998e-02
2.180000e-01 8.679377e-01 -3.235995e+00 2.350762e-01 -3.723056e-02
2.190000e-01 8.646873e-01 -3.264717e+00 2.350445e-01 -2.630866e-02
2.200000e-01 8.614084e-01 -3.293010e+00 2.350234e-01 -1.600199e-02
2.210000e-01 8.581014e-01 -3.320877e+00 2.350123e-01 -6.298138e-03
2.220000e-01 8.547668e-01 -3.348318e+00 2.350106e-01 2.815408e-03
2.230000e-01 8.514049e-01 -3.375335e+00 2.350177e-01 1.135127e-02
2.240000e-01 8.480162e-01 -3.401931e+00 2.350331e-01 1.932215e-02
2.250000e-01 8.446012e-01 -3.428105e+00 2.350562e-01 2.674087e-02
2.260000e-01 8.411602e-01 -3.453860e+00 2.350864e-01 3.362028e-02
2.270000e-01 8.376936e-01 -3.479198e+00 2.351232e-01 3.997334e-02
2.280000e-01 8.342019e-01 -3.504119e+00 2.351662e-01 4.581306e-02
2.290000e-01 8.306855e-01 -3.528625e+00 2.352147e-01 5.115249e-02
